[2024-12-07 00:00:25] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:00:48] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:02:48] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:04:51] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:06:48] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:08:48] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:10:29] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:23:00 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:10:48] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:38:01 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:13:58] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:38:01 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:13:58] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:38:01 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
[2024-12-07 00:13:58] Topic: solaredge/blagnac/overview | Data: Dernière mise à jour: 2024-12-06 22:38:01 | Énergie totale: {'energy': 3464174} Wh | Énergie l'année dernière: {'energy': 2983144} Wh | Énergie le mois dernier: {'energy': 48738} Wh | Énergie du dernier jour: {'energy': 7653} Wh | Puissance actuelle: {'power': 0} W | Mesuré par: INVERTER
